SPEC — Net Worth (Company + Personal)			
Full owner NW stack: Personal (cash, assets, retirement, brokerage, crypto) + Businesses (by method) | Entity + Consolidated cash | Family classes | Cursor must implement all layers			
1. PORTAL PLACEMENT			
Top-level or Finance sub-nav: Net Worth. Company users: entity + consolidated only. Visionary: toggle Company | Personal | Side-by-side (explicit, not one blended total unless user opts in).			
Routes: /finance/net-worth | /personal/net-worth | optional /visionary/net-worth (both books labeled).			
2. DEFINITION			
Net Worth = Total Assets − Total Liabilities. Multiple asset categories required (see §5–§6). Always show category breakdown, not a single opaque number.			
Cash is shown as an asset subtotal. Liabilities enter NW only as aggregate totals from GL (including credit card liability balances if any)—no card list, utilization, or credit UI on Net Worth.			
3. COMPANY NET WORTH — BY ENTITY			
Entity	Cash included (GL)	NW formula	
B. Adjusted book / cash equity	Book equity − intangible fluff + excess cash policy; or equity + off-balance adjustments user enters	When book understates cash or needs haircuts	Optional override
C. Fair value / multiple	User or rule: e.g. ARR × multiple (INDA), revenue × multiple (staffing/HR), or last 409A/raise valuation × %	Owner wealth view; mark-to-model	Optional; store method+inputs+as_of
/personal/finance/net-worth — asset categories + total liabilities + NW; no cards UI	Manual FMV entered with date and note	Trust/estate planning	Manual
CRITICAL — no double count: Company consolidated NW is the business itself. Personal NW includes Business ownership lines (A/B/C/D). Visionary Combined = Personal NW (incl. business ownership values) + any non-business personal assets ONLY if business lines use method C/D; if using method A, Combined = Personal ex-business + Company consol NW (or Personal with A and Combined without adding company again).			
Cursor Combined rules: (1) Stack view always shows Company consol NW and Personal NW separately. (2) If Personal includes business ownership @ book equity (A), Combined must NOT add Company consol again. (3) Prefer Combined = Personal_total where Personal already embeds business ownership assets; Company panel still shown for ops. Document formula in UI tooltip.			
Per-business rows on Personal NW: Recruit 619 | Signent HR | Instant NDA | Tage VC (holding) — each with method, ownership %, value, as_of, link to entity NW drill.			
Cash inside businesses is already inside entity NW / ownership value — do not add entity bank cash again on personal side.			
• Company consol excludes PERS. Personal excludes company entities.			
6b. VISIONARY / PERSONAL NW DISPLAY			
1) Cash & banking  2) Taxable investments  3) Retirement  4) Crypto  5) Other personal assets  6) Business ownership  7) − Total liabilities (one line)  = NW			
Company panel: Cash by entity | NW by entity | Consolidated. Card/credit operations live only under Personal Finance (/personal/finance/accounts or /cards)—NW only pulls liability totals for the formula.			
Related: MD - Bank Accounts | MD - Personal Family | Spec - Personal Finance | CoA - * | Spec - Reporting KPIs | Spec - IC Journals			
7. DATA / API (expanded)			
GET /net-worth?scope=entity|consolidated|personal|visionary&as_of=&class_code=&business_method=book|fmv			
Include: categories[], cash_by_entity[], business_holdings[{entity_code, method, ownership_pct, value}], family_member breakdown, liabilities[].			
8. UI			
/finance/net-worth company | /personal/finance/net-worth | /visionary/net-worth			
9. CURSOR MUST			
• Personal/Visionary NW assets: cash, savings, retirement, brokerage, crypto, other assets, business ownership. Liabilities: GL total only—no card management or card-level UI on Net Worth.			
• Company: all entity cash (Op+Sav+Investments) in cash panels; full entity/consol NW from GL.			
• Default business value = ownership % × entity book NW; allow FMV/multiple overrides with audit of inputs.			
• Never double-count business cash or equity in Combined view.			
• Seed personal CoA with retirement/brokerage/crypto account types (Spec - Personal Finance expand).			
Related: MD - Personal Family | MD - Bank Accounts | MD - Entities ownership % | Spec - Personal Finance | CoA - *			
Card balances: maintained and displayed in Personal Finance. Net Worth reads the liability account total(s) solely to compute Assets − Liabilities.			
